model,target,horizon,rmse,mae,r2,bias,band_accuracy,band_within_one,rmse_std,n_folds,n,skill_vs_persistence,run_id,city_id,quick
hist_gradient_boosting#0,aqi_max,2,18.851148791373635,14.927347213408384,0.1914871663301934,-1.0795418916498476,0.6799999999999999,0.9966666666666668,4.154059293980741,5,300,0.1951938732835361,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#1,aqi_max,2,18.74531367750144,14.772399030703005,0.1990335723519975,-0.3022415951028077,0.6833333333333333,0.9933333333333334,4.208786453407017,5,300,0.1997122582906638,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#2,aqi_max,2,18.52160692151366,14.455400482724825,0.2131681236796946,-1.2286140435173354,0.6900000000000001,0.9966666666666668,4.136200640180401,5,300,0.2092628999942197,20260906T203412Z,karachi_pk,False
sarimax,aqi_max,2,23.42321730114632,18.06748932038428,-0.2389520604947215,-0.0248415716096323,0.6599999999999999,0.9733333333333334,4.4820420393653295,5,300,0.0,20260906T203412Z,karachi_pk,False
persistence,aqi_max,3,26.184369563080686,20.435197903225152,-0.5722503205149057,-0.0726615969581749,0.5733333333333334,0.9733333333333334,4.128632537056338,5,300,0.0,20260906T203412Z,karachi_pk,False
seasonal_naive,aqi_max,3,29.01017276448496,23.474715762192524,-0.9915475053419236,-0.3421926489226866,0.5633333333333334,0.97,2.3844696351113144,5,300,-0.1079194667871088,20260906T203412Z,karachi_pk,False
climatology,aqi_max,3,24.895545168031745,20.106551700091497,-0.4124257955104469,6.103510042423749,0.6333333333333333,0.9866666666666668,5.217871716552208,5,300,0.0492211352251211,20260906T203412Z,karachi_pk,False
drifted_persistence,aqi_max,3,29.3656206465594,23.034182963243133,-0.9805605990069692,0.0230089512040589,0.56,0.9533333333333333,4.048227329051163,5,300,-0.1214942783256538,20260906T203412Z,karachi_pk,False
ridge,aqi_max,3,23.54390022525225,18.585020037351352,-0.3165954545802652,-0.7075904413765229,0.6699999999999999,0.98,3.229389646223296,5,300,0.1008414325755404,20260906T203412Z,karachi_pk,False
ridge#0,aqi_max,3,24.505734348914824,19.17620279325608,-0.4309019232543779,-1.1461614490302563,0.66,0.98,3.360579090324986,5,300,0.0641082921672743,20260906T203412Z,karachi_pk,False
ridge#1,aqi_max,3,23.54390022525225,18.585020037351352,-0.3165954545802652,-0.7075904413765229,0.6699999999999999,0.98,3.229389646223296,5,300,0.1008414325755404,20260906T203412Z,karachi_pk,False
ridge#2,aqi_max,3,21.959807748687005,17.43021294317426,-0.1319017772167793,0.5534253057276357,0.7033333333333334,0.99,2.917376711798562,5,300,0.161339069257188,20260906T203412Z,karachi_pk,False
ridge#3,aqi_max,3,20.34942277231661,16.368219558634433,0.0447835646107996,2.2519950183875777,0.7166666666666666,0.9933333333333334,2.9099248587991733,5,300,0.2228408355109379,20260906T203412Z,karachi_pk,False
elastic_net,aqi_max,3,19.82479615334896,16.257883390790056,0.098720030635612,3.333927401810753,0.6933333333333334,0.9933333333333334,3.455163412302501,5,300,0.2428767052959169,20260906T203412Z,karachi_pk,False
random_forest,aqi_max,3,20.18014029638369,16.284534975180286,0.0469243476181882,2.603910501982036,0.6566666666666666,0.9933333333333334,2.469208208152298,5,300,0.2293058556262821,20260906T203412Z,karachi_pk,False
random_forest#0,aqi_max,3,20.04508145181098,16.324073565929176,0.0642397557056857,2.22102276470448,0.6466666666666667,0.9933333333333334,2.322470927623622,5,300,0.2344638505227161,20260906T203412Z,karachi_pk,False
